Channel,Source,Detector,Distance (mm),brainSens,X (mm),Y (mm),Z (mm)
1,Fpz,Fp1,30,4.29%,-12,67,0
2,Fpz,AFz,40,9.47%,1,64,14
3,Fpz,Fp2,31,4.89%,13,67,0
4,AF3,Fp1,27,7.06%,-24,63,9
5,AF3,AFz,36,10.02%,-12,62,23
6,AF3,F1,44,10.59%,-23,52,32
7,AF3,F5,44,15.11%,-39,50,17
8,AF7,Fp1,30,4.97%,-33,59,-2
9,AF7,F5,33,9.23%,-47,46,6
10,Fz,AFz,40,9.27%,2,50,39
11,Fz,F1,29,3.30%,-9,41,50
12,Fz,FCz,40,7.54%,1,27,58
13,Fz,F2,29,4.31%,10,41,50
14,F3,F1,29,3.28%,-31,39,41
15,F3,F5,29,6.77%,-46,39,26
16,F3,FC3,36,9.10%,-45,25,41
17,F7,F5,28,5.22%,-53,37,6
18,F7,FT7,30,1.36%,-54,21,-4
19,F7,F9,40,0.74%,-49,31,-12
20,FC1,F1,39,5.79%,-23,26,56
21,FC1,FC3,36,7.59%,-38,12,55
22,FC1,C1,39,7.33%,-26,-5,68
23,FC1,FCz,36,5.14%,-13,12,67
24,FC5,F5,33,7.94%,-56,24,20
25,FC5,FC3,36,11.31%,-55,12,34
26,FC5,FT7,37,6.27%,-59,11,9
27,FC5,C5,33,7.62%,-62,-3,23
28,C3,FC3,37,9.38%,-50,-3,50
29,C3,C1,40,8.65%,-42,-20,62
30,C3,C5,40,11.12%,-60,-18,37
31,C3,CP3,37,7.61%,-52,-34,52
32,T7,FT7,30,3.50%,-63,-9,-12
33,T7,C5,40,11.64%,-65,-18,4
34,T7,TP7,30,7.13%,-68,-32,-12
35,CP1,C1,39,7.85%,-27,-36,71
36,CP1,CP3,38,8.28%,-39,-48,60
37,CP1,P1,39,8.39%,-24,-62,62
38,CP1,Cpz,38,6.13%,-16,-50,72
39,CP5,C5,33,8.12%,-63,-32,23
40,CP5,CP3,38,8.92%,-57,-48,38
41,CP5,TP7,38,11.09%,-65,-44,5
42,CP5,P5,32,5.83%,-57,-57,21
43,P3,CP3,36,7.33%,-46,-61,46
44,P3,P1,30,5.16%,-32,-73,47
45,P3,P5,30,4.73%,-46,-72,30
46,P3,PO3,35,8.41%,-34,-83,30
47,P7,TP7,30,6.42%,-64,-52,-9
48,P7,P5,30,4.10%,-54,-67,6
49,P7,PO7,30,3.21%,-49,-74,-5
50,P7,P9,44,4.94%,-55,-60,-22
51,O1,PO3,30,8.72%,-26,-96,8
52,O1,PO7,30,5.57%,-32,-93,-2
53,O1,I1,40,4.77%,-24,-95,-13
54,O1,Oz,30,10.15%,-14,-101,-2
55,PO9,PO7,42,5.48%,-42,-79,-21
56,PO9,I1,34,0.86%,-37,-81,-36
57,PO9,P9,34,1.19%,-50,-66,-39
58,FT9,FT7,40,0.55%,-57,3,-22
59,FT9,F9,31,0.01%,-51,11,-33
60,TP9,TP7,42,2.26%,-65,-42,-17
61,TP9,P9,23,0.01%,-54,-53,-42
